contract_id,weak_category,metadata_category,title_category,title,crz_predmet,crz_nazov,path,title_signal,title_disagree
11752864,energie,energie,energie,Zmluva o združenej dodávke plynu č. SC2025/161,Zmluva o združenej dodávke plynu č. SC2025/161,Zmluva č. SC2025/161,/Users/kazimir/Desktop/BP/zmluvy_cleaned_checked_strict_valid/11752864.txt,True,False
11817564,ukoncenie,ukoncenie,ukoncenie,Dohoda o ukončení Zmluvy o zriadení spoločného obecného úradu zo dňa 15.12.2020,Dohoda o ukončení Zmluvy o zriadení spoločného obecného úradu,Ukončenie SSU,/Users/kazimir/Desktop/BP/zmluvy_cleaned_checked_strict_valid/11817564.txt,True,False
11817566,ukoncenie,ukoncenie,ukoncenie,DOHODA o ukončení platnosti zmluvy o dielo č. 16/HSV zo dňa 20.2.1995 v znení dodatkov č. 1 až č. 17/2022 zo dňa 19.09.2022 (ďalej v texte len „Dohoda“),Dohoda o ukončení zmluvy o dielo č. 16/HSV a dodatkov 1 až 17,39/2025,/Users/kazimir/Desktop/BP/zmluvy_cleaned_checked_strict_valid/11817566.txt,True,False
11817568,hrobove_miesto,hrobove_miesto,hrobove_miesto,"ZMLUVA O NÁJME HROBOVÉHO MIESTA č. 2025/4190001378 Zmluvné strany: 1. MARIANUM - Pohrebníctvo mesta Bratislavy So sídlom: Šafárikovo námestie č. 3, 811 02 Bratislava Zastúpená: Ing. Robert Kováč, MBA - riaditeľ organizácie",nájom za hrobové miesto,2025/4190001378,/Users/kazimir/Desktop/BP/zmluvy_cleaned_checked_strict_valid/11817568.txt,True,False
11817570,hrobove_miesto,hrobove_miesto,hrobove_miesto,"ZMLUVA O NÁJME HROBOVÉHO MIESTA č. 2025/1010002035 Zmluvné strany: 1. MARIANUM - Pohrebníctvo mesta Bratislavy So sídlom: Šafárikovo námestie č. 3, 811 02 Bratislava Zastúpená: Ing. Robert Kováč, MBA - riaditeľ organizácie",nájom za hrobové miesto,2025/1010002035,/Users/kazimir/Desktop/BP/zmluvy_cleaned_checked_strict_valid/11817570.txt,True,False
11817572,hrobove_miesto,hrobove_miesto,hrobove_miesto,"ZMLUVA O NÁJME HROBOVÉHO MIESTA č. 2025/1020002745 Zmluvné strany: 1. MARIANUM - Pohrebníctvo mesta Bratislavy So sídlom: Šafárikovo námestie č. 3, 811 02 Bratislava Zastúpená: Ing. Robert Kováč, MBA - riaditeľ organizácie",nájom za hrobové miesto,2025/1020002745,/Users/kazimir/Desktop/BP/zmluvy_cleaned_checked_strict_valid/11817572.txt,True,False
11817574,hrobove_miesto,hrobove_miesto,hrobove_miesto,"ZMLUVA O NÁJME HROBOVÉHO MIESTA č. 2025/2090003149 Zmluvné strany: 1. MARIANUM - Pohrebníctvo mesta Bratislavy So sídlom: Šafárikovo námestie č. 3, 811 02 Bratislava Zastúpená: Ing. Robert Kováč, MBA - riaditeľ organizácie",nájom za hrobové miesto,2025/2090003149,/Users/kazimir/Desktop/BP/zmluvy_cleaned_checked_strict_valid/11817574.txt,True,False
11817576,hrobove_miesto,hrobove_miesto,hrobove_miesto,"ZMLUVA O NÁJME HROBOVÉHO MIESTA č. 2025/2090003150 Zmluvné strany: 1. MARIANUM - Pohrebníctvo mesta Bratislavy So sídlom: Šafárikovo námestie č. 3, 811 02 Bratislava Zastúpená: Ing. Robert Kováč, MBA - riaditeľ organizácie",nájom za hrobové miesto,2025/2090003150,/Users/kazimir/Desktop/BP/zmluvy_cleaned_checked_strict_valid/11817576.txt,True,False
11817578,hrobove_miesto,hrobove_miesto,hrobove_miesto,"ZMLUVA O NÁJME HROBOVÉHO MIESTA č. 2025/4190001379 Zmluvné strany: 1. MARIANUM - Pohrebníctvo mesta Bratislavy So sídlom: Šafárikovo námestie č. 3, 811 02 Bratislava Zastúpená: Ing. Robert Kováč, MBA - riaditeľ organizácie",nájom za hrobové miesto,2025/4190001379,/Users/kazimir/Desktop/BP/zmluvy_cleaned_checked_strict_valid/11817578.txt,True,False
11817582,dohoda_ine,dohoda_ine,other,Číslo záznamu: zákona č. 417/2013 Z. z. o znení neskorších pr,"D O H O D A č. 25/33/010/9 uzatvorená podľa § 10 ods. 12, § 26 ods. 2 písm. g) a ďalších zákona č. 417/2013 Z. z. o pomoci v hmotnej núdzi",301/2025,/Users/kazimir/Desktop/BP/zmluvy_cleaned_checked_strict_valid/11817582.txt,False,False
11817598,other,other,other,Zmluva o zverení majetku mesta do správy,Zmluva o zverení majetku mesta do správy,5001,/Users/kazimir/Desktop/BP/zmluvy_cleaned_checked_strict_valid/11817598.txt,False,False
11817601,kupa_predaj,kupa_predaj,kupa_predaj,KÚPNA ZMLUVA,Kúpna zmluva,bez čísla,/Users/kazimir/Desktop/BP/zmluvy_cleaned_checked_strict_valid/11817601.txt,True,False
11817609,dodatok,sluzby,dodatok,Dodatok č. 2 (ďalej len ako „Dodatok“) k Zmluve o poskytovaní registračnej služby/služby telefonickej podpory MAGTS2100205 medzi PAAS s.r.o.,Zmena obchodnej marže pre služby registrácií/ callcentra na 10%,MAGZD2500217,/Users/kazimir/Desktop/BP/zmluvy_cleaned_checked_strict_valid/11817609.txt,True,False
11817611,dodatok,sluzby,dodatok,Dodatok č. 7 (ďalej len ako „Dodatok“) k Zmluve o poskytovaní služieb MAGTS2100352 medzi PAAS s.r.o. sídlo:,Zmena obchodnej marže na služby správy garáží a parkovísk na 10%.,MAGZD2500218,/Users/kazimir/Desktop/BP/zmluvy_cleaned_checked_strict_valid/11817611.txt,True,False
11817613,dodatok,sluzby,dodatok,Dodatok č. 2 (ďalej len ako „Dodatok“) k Zmluve o poskytovaní služieb kontroly parkovania MAGTS2100206 medzi PAAS s.r.o. sídlo:,Zmena obchodnej marže na služby kontroly parkovania na 10%.,MAGZD2500219,/Users/kazimir/Desktop/BP/zmluvy_cleaned_checked_strict_valid/11817613.txt,True,False
11817697,other,other,other,Zmluva o obchodných a dodacích podmienkach –––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––– Zmluva o obchodných a dodacích podmienkach,Zmluva o obchodných a dodacích podmienkach,ZSO 01/2026,/Users/kazimir/Desktop/BP/zmluvy_cleaned_checked_strict_valid/11817697.txt,False,False
11817699,kupa_predaj,kupa_predaj,kupa_predaj,K Ú P N A ZMLUVA,Kúpna zmluva,ZSO 02/2026,/Users/kazimir/Desktop/BP/zmluvy_cleaned_checked_strict_valid/11817699.txt,True,False
11817703,kupa_predaj,kupa_predaj,kupa_predaj,KÚPNO - PREDAJNÁ-ZMLUVA,Kúpno-predajná zmluva,ZSO 04/2026,/Users/kazimir/Desktop/BP/zmluvy_cleaned_checked_strict_valid/11817703.txt,True,False
